key,keywords,description
1,A,a host address
2,NS,an authoritative name server
3,MD,a mail destination (OBSOLETE - use MX)
4,MF,a mail forwarder (OBSOLETE - use MX)
5,CNAME,the canonical name for an alias
6,SOA,marks the start of a zone of authority
7,MB,a mailbox domain name (EXPERIMENTAL)
8,MG,a mail group member (EXPERIMENTAL)
9,MR,a mail rename domain name (EXPERIMENTAL)
10,NULL,a null RR (EXPERIMENTAL)
11,WKS,a well known service description
12,PTR,a domain name pointer
13,HINFO,host information
14,MINFO,mailbox or mail list information
15,MX,mail exchange
16,TXT,text strings
17,RP,for Responsible Person
18,AFSDB,for AFS Data Base location
19,X25,for X.25 PSDN address
20,ISDN,for ISDN address
21,RT,for Route Through
22,NSAP,"for NSAP address, NSAP style A record"
23,NSAP-PTR,"for domain name pointer, NSAP style"
24,SIG,for security signature
25,KEY,for security key
26,PX,X.400 mail mapping information
27,GPOS,Geographical Position
28,AAAA,IP6 Address
29,LOC,Location Information
30,NXT,Next Domain (OBSOLETE)
31,EID,Endpoint Identifier
32,NIMLOC,Nimrod Locator
33,SRV,Server Selection
34,ATMA,ATM Address
35,NAPTR,Naming Authority Pointer
36,KX,Key Exchanger
37,CERT,CERT
38,A6,A6 (OBSOLETE - use AAAA)
39,DNAME,DNAME
40,SINK,SINK
41,OPT,OPT
42,APL,APL
43,DS,Delegation Signer
44,SSHFP,SSH Key Fingerprint
45,IPSECKEY,IPSECKEY
46,RRSIG,RRSIG
47,NSEC,NSEC
48,DNSKEY,DNSKEY
49,DHCID,DHCID
50,NSEC3,NSEC3
51,NSEC3PARAM,NSEC3PARAM
52,TLSA,TLSA
53,SMIMEA,S/MIME cert association
54,Unassigned,
55,HIP,Host Identity Protocol
56,NINFO,NINFO
57,RKEY,RKEY
58,TALINK,Trust Anchor LINK
59,CDS,Child DS
60,CDNSKEY,DNSKEY(s) the Child wants reflected in DS
61,OPENPGPKEY,OpenPGP Key
62,CSYNC,Child-To-Parent Synchronization
63,ZONEMD,message digest for DNS zone
99,SPF,
100,UINFO,
101,UID,
102,GID,
103,UNSPEC,
104,NID,
105,L32,
106,L64,
107,LP,
108,EUI48,an EUI-48 address
109,EUI64,an EUI-64 address
249,TKEY,Transaction Key
250,TSIG,Transaction Signature
251,IXFR,incremental transfer
252,AXFR,transfer of an entire zone
253,MAILB,"mailbox-related RRs (MB, MG or MR)"
254,MAILA,mail agent RRs (OBSOLETE - see MX)
255,*,A request for some or all records the server has available
256,URI,URI
257,CAA,Certification Authority Restriction
258,AVC,Application Visibility and Control
259,DOA,Digital Object Architecture
260,AMTRELAY,Automatic Multicast Tunneling Relay
